Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,TargetClass
1973-07-27,0.0,4.75,4.703125,4.71875,1.8563369512557983,10400,72.340077871105,1.628905656337738,1.712051855887656,1.79732825756073,1.979820371827287,1.6148361432941727,1.8256033658981323,0
1973-07-30,0.0,4.78125,4.625,4.640625,1.8256033658981323,35200,63.265042802461956,1.6344377899169922,1.7165048562802239,1.8077778279781342,1.9694456134804426,1.646110042475826,1.8563369512557983,1
1973-07-31,0.0,4.71875,4.625,4.71875,1.8563369512557983,16800,63.2650282632116,1.6407075238227844,1.7219884678478934,1.8194567024707795,1.9567589172908215,1.6821544876507375,1.8194568157196045,0
1973-08-01,0.0,4.6875,4.625,4.625,1.8194568157196045,64800,58.49062058038418,1.6466084575653077,1.7258107559997253,1.8283696115016936,1.93712503860758,1.7196141843958073,1.8440442085266113,1
1973-08-02,0.0,4.6875,4.671875,4.6875,1.8440442085266113,6400,62.50011255278726,1.6532470154762269,1.7304473619811718,1.8311357080936432,1.9384498410919409,1.7238215750953456,1.8317502737045288,0
1973-08-03,0.0,4.6875,4.59375,4.65625,1.8317502737045288,18400,53.06131253275158,1.6593938183784485,1.7344200251860094,1.8326724171638489,1.939046624426024,1.7262982099016737,1.801016092300415,0
1973-08-06,0.0,4.703125,4.578125,4.578125,1.801016092300415,12000,37.777632204991,1.6648030018806457,1.737031635661084,1.8363604843616486,1.9319095272355282,1.740811441487769,1.8071634769439697,1
1973-08-07,0.0,4.609375,4.546875,4.59375,1.8071634769439697,6400,39.13042011818354,1.6695975303649901,1.7397819039466873,1.8394338548183442,1.9262600087319275,1.752607700904761,1.8071634769439697,0
1973-08-08,0.0,4.65625,4.59375,4.59375,1.8071634769439697,91200,33.3333641169661,1.6742691087722779,1.7424243185740318,1.8409705400466918,1.9241113142860637,1.7578297658073199,1.8194568157196045,1
1973-08-09,0.0,4.625,4.5625,4.625,1.8194568157196045,11200,33.33330254967213,1.680170042514801,1.7454452008150347,1.843736618757248,1.9194646612926216,1.7680085762218742,1.8071634769439697,0
1973-08-10,0.0,4.625,4.59375,4.59375,1.8071634769439697,6400,34.14637261338717,1.6855792379379273,1.7478655253691107,1.8461953818798065,1.9128506514562655,1.7795401123033474,1.788722276687622,0
1973-08-13,0.0,4.59375,4.515625,4.546875,1.788722276687622,37600,30.23243122565922,1.6908654808998107,1.7494677509110133,1.8449660301208497,1.9149965973950702,1.7749354628466292,1.8194568157196045,1
1973-08-14,0.0,4.625,4.59375,4.625,1.8194568157196045,25600,40.90905083956869,1.696766414642334,1.7522124201191933,1.842507290840149,1.9124923786609296,1.7725222030193684,1.8194568157196045,0
1973-08-15,0.0,4.625,4.625,4.625,1.8194568157196045,11200,43.902503631587884,1.7031591033935547,1.7548494552407783,1.8400485515594482,1.9096232312922146,1.770473871826682,1.8071634769439697,0
1973-08-16,0.0,4.625,4.59375,4.59375,1.8071634769439697,9600,40.47638287389531,1.7088141703605653,1.7569009855036486,1.8357457935810089,1.9020419663032928,1.769449620858725,1.8071634769439697,0
1973-08-17,4.59375,4.59375,4.59375,4.59375,1.8071634769439697,0,45.946072025918305,1.7153297924995423,1.7588720635993476,1.830828356742859,1.8894854130415155,1.7721713004442023,1.79486882686615,0
1973-08-20,0.0,4.609375,4.53125,4.5625,1.79486882686615,13600,35.29424514763023,1.7211077809333801,1.7602837013745163,1.8262182176113129,1.8806005006338842,1.7718359345887416,1.782576084136963,0
1973-08-21,0.0,4.546875,4.515625,4.53125,1.782576084136963,4000,40.00012929000395,1.7270087242126464,1.7611579124632397,1.8206860899925232,1.8684823600924536,1.7728898198925929,1.7702821493148804,0
1973-08-22,0.0,4.5,4.5,4.5,1.7702821493148804,1600,28.571567096208923,1.7313114881515503,1.761515725673108,1.8157686173915863,1.863029262554829,1.7685079722283437,1.7702821493148804,0
1973-08-23,0.0,4.5,4.5,4.5,1.7702821493148804,8000,30.769414376245663,1.7348766493797303,1.7618595069923932,1.8117731988430024,1.8602756887466048,1.7632707089394,1.8256033658981323,1
1973-08-24,0.0,4.6875,4.53125,4.640625,1.8256033658981323,54400,56.666625724752684,1.7395482349395752,1.7643592661651675,1.810236519575119,1.8545617591018861,1.765911280048352,1.8624849319458008,1
1973-08-27,0.0,4.734375,4.640625,4.734375,1.8624849319458008,5600,62.85709061330154,1.746063859462738,1.7682073314898983,1.8120805978775025,1.8618340885551166,1.7623271071998885,1.9300987720489502,1
1973-08-28,0.0,4.90625,4.71875,4.90625,1.9300987720489502,24000,71.73893613164076,1.7547923231124878,1.7745560154333906,1.81576868891716,1.8860400741610719,1.7454973036732482,2.0407421588897705,1
1973-08-29,0.0,5.265625,4.921875,5.1875,2.0407421588897705,102400,79.03216523352091,1.7662253952026368,1.7849946877257976,1.8268329560756684,1.9496138227331974,1.7040520894181395,2.0407421588897705,0
1973-08-30,0.0,5.3125,5.1875,5.1875,2.0407421588897705,15200,81.66649751147939,1.7777813935279847,1.7950240003204632,1.8366678535938263,1.9923553519496213,1.6809803552380314,2.0161542892456055,0
1973-08-31,0.0,5.1875,5.03125,5.125,2.0161542892456055,28000,80.32773907536416,1.7892144584655763,1.8036957763567432,1.8458880543708802,2.020981588700384,1.6707945200413767,2.1083567142486572,1
1973-09-04,0.0,5.40625,5.09375,5.359375,2.1083567142486572,32000,83.09846112999789,1.8026145100593567,1.8156432641172104,1.8612550854682923,2.0704025700320967,1.652107600904488,2.1821181774139404,1
