Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,Target,TargetClass
1989-02-17,0.2097180038690567,0.2097180038690567,0.2097180038690567,0.2097180038690567,-102493.4140625,0,43.75025940231192,-83244.77234375,-87151.73501635312,-99280.77578125,-88271.41087983716,-110290.14068266285,-107540.4609375,-5047.046875,0
1989-02-20,0.22004500031471252,0.22004500031471252,0.22004500031471252,0.22004500031471252,-107540.4609375,0,40.49581196630947,-84161.00609375,-87951.29289561379,-100251.351171875,-89983.89653598398,-110518.80580776601,-107928.4453125,-387.984375,0
1989-02-21,0.2208389937877655,0.2208389937877655,0.2208389937877655,0.2208389937877655,-107928.4453125,0,44.1442013077929,-85065.587734375,-88734.71063745247,-101105.4609375,-91300.631366191,-110910.290508809,-107540.4609375,387.984375,1
1989-02-22,0.22004500031471252,0.22004500031471252,0.22004500031471252,0.22004500031471252,-107540.4609375,0,43.63657384878928,-85939.116796875,-89472.1910413759,-101678.09375,-91769.94794779552,-111586.23955220448,-107540.4609375,0.0,0
1989-02-23,0.22004500031471252,0.22004500031471252,0.22004500031471252,0.22004500031471252,-107540.4609375,0,47.059009210293986,-86804.87609375,-90180.75064514548,-102357.513671875,-92823.55785247748,-111891.46949127252,-109869.6875,-2329.2265625,0
1989-02-24,0.22481100261211395,0.22481100261211395,0.22481100261211395,0.22481100261211395,-109869.6875,0,42.30775854212448,-87662.873125,-90952.8658159241,-103017.50546875,-93315.3194822474,-112719.69145525259,-107152.375,2717.3125,1
1989-02-27,0.21925100684165955,0.21925100684165955,0.21925100684165955,0.21925100684165955,-107152.375,0,49.51419360397406,-88478.16546875,-91588.14068588786,-103522.20390625,-94078.51112229133,-112965.89669020867,-107540.4609375,-388.0859375,0
1989-02-28,0.22004500031471252,0.22004500031471252,0.22004500031471252,0.22004500031471252,-107540.4609375,0,53.12482378773825,-89270.1665625,-92213.7218722256,-103968.675390625,-94659.24756466603,-113278.10321658396,-112393.40625,-4852.9453125,0
1989-03-01,0.22997500002384186,0.22997500002384186,0.22997500002384186,0.22997500002384186,-112393.40625,0,40.41457508587367,-90159.2265625,-93005.08204390302,-104444.272265625,-94423.96557166018,-114464.57895958981,-118022.4921875,-5629.0859375,0
1989-03-02,0.24149300158023834,0.24149300158023834,0.24149300158023834,0.24149300158023834,-118022.4921875,0,27.272557265951026,-91153.098125,-93986.15695149507,-105240.128515625,-93603.87906999541,-116876.37796125458,-118799.1328125,-776.640625,0
1989-03-03,0.24308200180530548,0.24308200180530548,0.24308200180530548,0.24308200180530548,-118799.1328125,0,16.85295396492012,-92162.5025,-94959.21482839722,-105919.525,-92798.42828958601,-119040.62171041398,-121904.9453125,-3105.8125,0
1989-03-06,0.24943700432777405,0.24943700432777405,0.24943700432777405,0.24943700432777405,-121904.9453125,0,16.128203014288562,-93234.023125,-96015.91014149929,-106831.86953125,-91953.08163906421,-121710.6574234358,-120740.2890625,1164.65625,1
1989-03-07,0.24705399572849274,0.24705399572849274,0.24705399572849274,0.24705399572849274,-120740.2890625,0,12.35821675775947,-94282.250625,-96985.49362859737,-107530.69140625,-91404.74284616622,-123656.63996633378,-119575.65625,1164.6328125,1
